,realtime,%cpu,rchar,wchar,syscr,syscw,read_bytes,write_bytes,%mem,vmem,rss,peak_vmem,peak_rss,vol_ctxt,inv_ctxt,scheme,samples,threads,type,iter,size_bytes
1113,114430,5126,6956370147,5349064377,746811,569729,33693696,10625024,15,10201608,3809472,10213240,3989644,168888,642,enteritidis_v1.0.7,1,32,snippy,1,283728415
1114,115671,4909,4994906139,4019943898,557371,438925,33693696,6025216,7,10136072,1870444,10195912,1929600,103905,21856,enteritidis_v1.0.7,1,16,snippy,1,197307350
1115,101099,7081,6699990844,5124002998,704775,563573,33693696,10493952,11,10135172,2796812,10203204,3379264,139198,616,enteritidis_v1.0.7,1,32,snippy,1,328805369
1116,15390,1470,534265697,398528909,53874,12233,20716544,0,0,2394840,69764,2407632,70160,19291,7503,enteritidis_v1.0.7,1,1,single,9,125988487
1117,28444,1209,802489767,664941439,86425,20396,20716544,0,0,2390004,69932,2407624,70328,36215,32180,enteritidis_v1.0.7,1,1,single,6,127800331
1118,1276425,3664,117261121428,92068200869,12013369,2821695,20936704,0,0,10072420,295512,10279472,295512,365454,10710036,enteritidis_v1.0.7,96,4,multiple,2,96
1119,25771,1527,1128730814,865408137,114748,26537,20697088,0,0,2391708,69596,2407632,69992,38206,4249,enteritidis_v1.0.7,1,1,single,10,253574934
1120,29449,1415,1140212387,884703412,116869,27128,20697088,0,0,2396980,69756,2407628,70152,37537,14339,enteritidis_v1.0.7,1,1,single,7,245761219
1121,542645,1858,6013409260,4955420806,676503,584987,33728512,2961408,6,8850808,1678916,8917848,1714228,138823,20773,enteritidis_v1.0.7,1,2,snippy,1,443102425
1122,39595,1296,1455831646,1165419421,152226,35728,20697088,0,0,2392864,69972,2407624,70368,43390,37426,enteritidis_v1.0.7,1,1,single,3,280664581
1123,12496,1766,573713208,437899364,58658,13439,20697088,0,0,2392608,69884,2407628,70276,20201,591,enteritidis_v1.0.7,1,1,single,4,126066089
1124,41528,1301,1520111676,1156116333,153358,35443,20716544,0,0,2396656,69744,2407624,70140,55437,35286,enteritidis_v1.0.7,1,1,single,5,354247650
1125,168029,4669,6243441951,5048968023,688691,543217,33693696,5980160,8,10070536,2388972,10147704,2404820,134001,65258,enteritidis_v1.0.7,1,16,snippy,1,273508691
1126,31905,1479,1367863688,1061461822,140010,32544,20697088,0,0,2397232,69748,2407624,70144,46682,8138,enteritidis_v1.0.7,1,1,single,8,296654154
1127,114593,10188,8314799286,6527259963,897706,790831,33693696,10596352,12,10168840,3334388,10180472,3676020,180769,2725,enteritidis_v1.0.7,1,32,snippy,1,539404213
1128,38841,1295,1455831646,1165419421,152219,35728,20716544,0,0,2388420,69788,2407632,70184,42883,30039,enteritidis_v1.0.7,1,1,single,6,280664581
1129,28051,1280,896554086,734938383,95713,22540,20697088,0,0,2395872,69972,2407628,70368,38885,18088,enteritidis_v1.0.7,1,1,single,6,151868003
1130,19476,1341,611204602,476098793,63307,14609,20697088,0,0,2392096,69668,2407636,70064,22966,10765,enteritidis_v1.0.7,1,1,single,6,125358126
1131,27222,1435,1107891519,860363530,113656,26382,20697088,0,0,1989628,69852,2407624,70248,38384,10233,enteritidis_v1.0.7,1,1,single,7,237780265
1132,44094,1429,1919823952,1453973747,192797,44569,20697088,0,0,2390008,69940,2407628,70332,64342,11837,enteritidis_v1.0.7,1,1,single,8,456102547
1133,30579,1402,1236312851,976061976,128165,29928,20697088,0,0,2390548,70068,2407624,70460,40011,14723,enteritidis_v1.0.7,1,1,single,9,250503194
1134,51474,6838,2887517706,1835988696,265216,223737,33693696,10088448,5,10028676,1381104,10129464,1408360,45580,51,enteritidis_v1.0.7,1,32,snippy,1,151435202
1135,22958,1179,727852810,559234352,74492,17157,20697088,0,0,1989628,70104,2407624,70500,27654,20321,enteritidis_v1.0.7,1,1,single,3,158870730
1136,231352,1745,3380585575,2757174214,378307,302343,33693696,2363392,3,8817136,963108,8884176,987228,71961,14624,enteritidis_v1.0.7,1,2,snippy,1,174692626
1137,118232,33206,117261191545,92068201094,12015574,2821723,20936704,0,0,65184192,1749428,65395976,1749440,1197142,3549377,enteritidis_v1.0.7,96,32,multiple,8,96
1138,46521,1401,1919823951,1453973747,192811,44569,20697088,0,0,2393272,69768,2407632,70160,59194,19962,enteritidis_v1.0.7,1,1,single,3,456102547
1139,40294,1409,1723715684,1334959694,175919,40923,20697088,0,0,2396128,70108,2407628,70496,58242,14758,enteritidis_v1.0.7,1,1,single,9,379008409
1140,42699,1420,1808364689,1357624935,180562,41617,20697088,0,0,2386052,70028,2407628,70424,57428,14226,enteritidis_v1.0.7,1,1,single,10,440992030
1141,23831,1358,859543620,672790272,88904,20636,20697088,0,0,2392860,69792,2407624,70188,31138,13311,enteritidis_v1.0.7,1,1,single,10,177005607
1142,39878,1217,1336465205,1040152010,137110,31890,20697088,0,0,2394364,69732,2407628,70124,53304,47412,enteritidis_v1.0.7,1,1,single,6,286565500
1143,64315,1150,1882280546,1593994985,204446,48859,20697088,0,0,2382664,69740,2407628,70136,89234,100194,enteritidis_v1.0.7,1,1,single,3,278537989
1144,115198,7169,8049992223,6240154643,849382,661405,33693696,10825728,12,10135168,3195952,10154992,3734416,154637,1622,enteritidis_v1.0.7,1,32,snippy,1,379008409
1145,43064,1388,1713385814,1332728972,175403,40855,20697088,0,0,2390140,69900,2407636,70292,56118,16835,enteritidis_v1.0.7,1,1,single,2,370908859
