250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
SRR3665023	SRR1918986	SRR1696762	SRR1583146
SRR3665069	SRR1946977	SRR1752821	SRR1605040
SRR3665070	SRR1950919	SRR1752888	SRR1609687
SRR3665086	SRR1951883	SRR1767788	SRR1609689
SRR3665187	SRR1952701	SRR1767807	SRR1614906
SRR3932991	SRR1968390	SRR1773630	SRR1616741
SRR3933003	SRR1970592	SRR1773631	SRR1616742
SRR3933046	SRR1973892	SRR1773837	SRR1616753
SRR3933073	SRR1973919	SRR1774031	SRR1616754
SRR3933074	SRR1973974	SRR1774054	SRR1616760
SRR4044375	SRR1973984	SRR1774060	SRR1616763
SRR4044564	SRR1976238	SRR1774068	SRR1616765
SRR4292024	SRR1976256	SRR1777669	SRR1616771
SRR4292025	SRR1979270	SRR1777682	SRR1616772
SRR4295052	SRR1982114	SRR1777690	SRR1616773
SRR4297054	SRR1982187	SRR1777996	SRR1616774
SRR4418379	SRR1982208	SRR1778000	SRR1619597
SRR4432516	SRR1982213	SRR1778009	SRR1631185
SRR5016811	SRR1982231	SRR1783165	SRR1635104
SRR5016818	SRR1988506	SRR1783194	SRR1636572
SRR5055986	SRR1995502	SRR1783217	SRR1636678
SRR5081554	SRR1995557	SRR1791285	SRR1636679
SRR5116948	SRR1996162	SRR1791383	SRR1636680
SRR5188697	SRR1997787	SRR1793246	SRR1636683
SRR5195884	SRR2002456	SRR1793262	SRR1636689
SRR5231232	SRR2005891	SRR1796078	SRR1636987
SRR5231293	SRR2012819	SRR1805612	SRR1637043
SRR5236376	SRR2012876	SRR1805623	SRR1637060
SRR5236377	SRR2015815	SRR1805651	SRR1637087
SRR5236389	SRR2015922	SRR1810553	SRR1645238
SRR5236390	SRR2017868	SRR1810570	SRR1646522
SRR5236395	SRR2017879	SRR1813429	SRR1646540
SRR5237964	SRR2025306	SRR1814288	SRR1646929
SRR5237982	SRR2029462	SRR1814289	SRR1664211
SRR5238036	SRR2029467	SRR1814325	SRR1664299
SRR5238181	SRR2039096	SRR1814408	SRR1694047
SRR5238183	SRR2039245	SRR1814409	SRR1694048
SRR5239200	SRR2043266	SRR1814410	SRR1694060
SRR5239227	SRR2043271	SRR1816140	SRR1694061
SRR5241819	SRR2043473	SRR1816142	SRR1694071
SRR5241822	SRR2043702	SRR1820091	SRR1694072
SRR5277178	SRR2047321	SRR1840638	SRR1694074
SRR5447652	SRR2047330	SRR1840639	SRR1694079
SRR5584057	SRR2060275	SRR1840640	SRR1694092
SRR5584485	SRR2062219	SRR1840641	SRR1695735
SRR5584952	SRR2064107	SRR1840642	SRR1695743
SRR5585239	SRR2064116	SRR1840644	SRR1695749
SRR5599703	SRR2067947	SRR1840645	SRR1695763
SRR5633077	SRR2068091	SRR1840647	SRR1695768
SRR5645347	SRR2075044	SRR1840650	SRR1695769
SRR5647012	SRR2078201	SRR1840699	SRR1695775
SRR5693819	SRR2078902	SRR1840716	SRR1696762
SRR5712352	SRR2082936	SRR1849329	SRR1696763
SRR5760382	SRR2082937	SRR1849386	SRR1696766
SRR5804720	SRR2085784	SRR1849392	SRR1752821
SRR5804739	SRR2086992	SRR1861877	SRR1752888
SRR5808654	SRR2088774	SRR1908927	SRR1767788
SRR5821979	SRR2088775	SRR1908990	SRR1767807
SRR5861553	SRR2096539	SRR1909017	SRR1773630
SRR5865205	SRR2102463	SRR1910302	SRR1773631
SRR5874812	SRR2121399	SRR1916092	SRR1773837
SRR5876341	SRR2121400	SRR1916113	SRR1774031
SRR5912904	SRR2121402	SRR1916125	SRR1774054
SRR5938166	SRR2121671	SRR1918943	SRR1774060
SRR5947782	SRR2132208	SRR1918986	SRR1774062
SRR5967220	SRR2143474	SRR1923644	SRR1774068
SRR6039955	SRR2143493	SRR1946915	SRR1777669
SRR6107202	SRR2152999	SRR1946958	SRR1777682
SRR6116280	SRR2153004	SRR1946977	SRR1777690
SRR6133775	SRR2156510	SRR1946999	SRR1777702
SRR6159342	SRR2156600	SRR1947022	SRR1777705
SRR6218014	SRR2163262	SRR1950919	SRR1777996
SRR6231039	SRR2182910	SRR1952701	SRR1778000
SRR6231222	SRR2192167	SRR1965056	SRR1778009
SRR6243393	SRR2407552	SRR1966080	SRR1778020
SRR6254946	SRR2407587	SRR1968390	SRR1783165
SRR6260764	SRR2407684	SRR1970587	SRR1783194
SRR6289885	SRR2407779	SRR1970592	SRR1783217
SRR6289905	SRR2426356	SRR1973821	SRR1791285
SRR6310665	SRR2532718	SRR1973892	SRR1791383
SRR6327185	SRR2532722	SRR1973974	SRR1793246
SRR6342678	SRR2533362	SRR1974003	SRR1793262
SRR6344915	SRR2533457	SRR1974096	SRR1796078
