250 SE genome assemblies	500 SE genome assemblies	750 SE genome assemblies	1000 SE genome assemblies																																																																				
SRR5948463	SRR3285474	SRR1967199	SRR1664213																																																																				
SRR5989061	SRR3286939	SRR1967204	SRR1664305																																																																				
SRR6025934	SRR3295595	SRR1967274	SRR1695616																																																																				
SRR6051384	SRR3312161	SRR1967284	SRR1713645																																																																				
SRR6071648	SRR3322011	SRR1967478	SRR1763827																																																																				
SRR6107284	SRR3372231	SRR1967750	SRR1799700																																																																				
SRR6126781	SRR3394945	SRR1967806	SRR1813424																																																																				
SRR6132001	SRR3405948	SRR1967877	SRR1816331																																																																				
SRR6132408	SRR3457764	SRR1967905	SRR1816353																																																																				
SRR6133527	SRR3457765	SRR1967928	SRR1910755																																																																				
SRR6143757	SRR3490024	SRR1967970	SRR1952820																																																																				
SRR6165572	SRR3490045	SRR1968184	SRR1952907																																																																				
SRR6334858	SRR3499740	SRR1968297	SRR1952913																																																																				
SRR6350771	SRR3571300	SRR1968313	SRR1952920																																																																				
SRR6359042	SRR3606744	SRR1968440	SRR1952931																																																																				
SRR6366425	SRR3664757	SRR1968723	SRR1957746																																																																				
SRR6384575	SRR3667814	SRR1968998	SRR1957755																																																																				
SRR6451637	SRR3713596	SRR1969242	SRR1957777																																																																				
SRR6481152	SRR3743962	SRR1969332	SRR1957919																																																																				
SRR6514484	SRR3930385	SRR1969337	SRR1957986																																																																				
SRR6514744	SRR3934263	SRR1969386	SRR1958129																																																																				
SRR6656986	SRR3948504	SRR1969499	SRR1958190																																																																				
SRR6670271	SRR3978747	SRR1969636	SRR1958329																																																																				
SRR6798738	SRR3990990	SRR1969651	SRR1958633																																																																				
SRR6870190	SRR4014399	SRR1969656	SRR1959275																																																																				
SRR6879545	SRR4054819	SRR1969684	SRR1959455																																																																				
SRR6885446	SRR4063727	SRR1969940	SRR1960139																																																																				
SRR6897029	SRR4073158	SRR1969985	SRR1960181																																																																				
SRR6897889	SRR4243051	SRR1970052	SRR1960305																																																																				
SRR6897941	SRR4273689	SRR1970294	SRR1962045																																																																				
SRR6898402	SRR4280634	SRR1970321	SRR1963094																																																																				
SRR6898813	SRR4340444	SRR1976241	SRR1965043																																																																				
SRR6898939	SRR4429045	SRR1976272	SRR1965269																																																																				
SRR6900058	SRR4432549	SRR1979446	SRR1965577																																																																				
SRR6900720	SRR4444916	SRR1988493	SRR1965616																																																																				
SRR6900822	SRR4444920	SRR1996217	SRR1965758																																																																				
SRR6900892	SRR4444946	SRR1997805	SRR1965923																																																																				
SRR6901105	SRR4449079	SRR2035407	SRR1965932																																																																				
SRR6901144	SRR4450003	SRR2035443	SRR1966087																																																																				
SRR6918292	SRR4546516	SRR2062506	SRR1966105																																																																				
SRR6918881	SRR4897149	SRR2072492	SRR1966194																																																																				
SRR6919806	SRR5002702	SRR2082947	SRR1966262																																																																				
SRR6919971	SRR5004580	SRR2085495	SRR1966277																																																																				
SRR6920558	SRR5012559	SRR2088725	SRR1966318																																																																				
SRR6920825	SRR5053589	SRR2088728	SRR1966325																																																																				
SRR6922528	SRR5057228	SRR2095388	SRR1966337																																																																				
SRR6922740	SRR5081459	SRR2102455	SRR1966360																																																																				
SRR6924111	SRR5126201	SRR2153464	SRR1966448																																																																				
SRR6940761	SRR5126941	SRR2176210	SRR1966497																																																																				
SRR6955941	SRR5126953	SRR2182888	SRR1966532																																																																				
SRR6984321	SRR5126990	SRR2187690	SRR1966582																																																																				
SRR6984384	SRR5193106	SRR2192134	SRR1966623																																																																				
SRR7027940	SRR5193229	SRR2296840	SRR1966772																																																																				
SRR7056107	SRR5193322	SRR2338099	SRR1966804																																																																				
SRR7059365	SRR5193611	SRR2352187	SRR1966960																																																																				
SRR7063438	SRR5193956	SRR2352198	SRR1967006																																																																				
SRR7072851	SRR5193997	SRR2352203	SRR1967172																																																																				
SRR7105075	SRR5194072	SRR2559318	SRR1967183																																																																				
SRR7125578	SRR5194149	SRR2566751	SRR1967199																																																																				
SRR7130938	SRR5194194	SRR2566887	SRR1967204																																																																				
SRR7167157	SRR5194219	SRR2567019	SRR1967274																																																																				
SRR7221354	SRR5194294	SRR2577498	SRR1967283																																																																				
SRR7253194	SRR5202356	SRR2584392	SRR1967284																																																																				
SRR7271301	SRR5209176	SRR2585441	SRR1967478																																																																				
SRR7299372	SRR5215652	SRR2669158	SRR1967742																																																																				
SRR7300282	SRR5215727	SRR2913276	SRR1967750																																																																				
SRR7300394	SRR5215733	SRR2913304	SRR1967806																																																																				
SRR7300413	SRR5215814	SRR2937465	SRR1967877																																																																				
SRR7348316	SRR5215839	SRR3049073	SRR1967905																																																																				
SRR7348371	SRR5215860	SRR3049240	SRR1967928																																																																				
SRR7351412	SRR5215865	SRR3049272	SRR1967970																																																																				
SRR7416262	SRR5216124	SRR3049397	SRR1968184																																																																				
SRR7456230	SRR5216134	SRR3049462	SRR1968297																																																																				
SRR7471057	SRR5216156	SRR3049821	SRR1968313																																																																				
SRR7506784	SRR5216185	SRR3049897	SRR1968440																																																																				
SRR7660925	SRR5216235	SRR3049901	SRR1968709																																																																				
SRR7660934	SRR5216243	SRR3052031	SRR1968723																																																																				
SRR7777214	SRR5216271	SRR3089996	SRR1968998																																																																				
	SRR5216292	SRR3103829	SRR1969064																																																																				
	SRR5216376	SRR3110500	SRR1969242																																																																				
	SRR5216382	SRR3114034	SRR1969332																																																																				
	SRR5216404	SRR3146658	SRR1969337																																																																				
	SRR5216469	SRR3182235	SRR1969386																																																																				
	SRR5216590	SRR3184316	SRR1969499																																																																				
	SRR5216611	SRR3205702	SRR1969636																																																																				
	SRR5219440	SRR3284848	SRR1969651																																																																				
	SRR5219441	SRR3285081	SRR1969656																																																																				
	SRR5219466	SRR3285365	SRR1969684																																																																				
	SRR5219521	SRR3285463	SRR1969759																																																																				
	SRR5220271	SRR3286939	SRR1969815																																																																				
	SRR5220458	SRR3295533	SRR1969850																																																																				
	SRR5220460	SRR3295595	SRR1969940																																																																				
	SRR5220463	SRR3312161	SRR1969985																																																																				
	SRR5220516	SRR3322011	SRR1970052																																																																				
	SRR5220525	SRR3330246	SRR1970156																																																																				
	SRR5220621	SRR3405866	SRR1970294																																																																				
	SRR5220694	SRR3405948	SRR1970321																																																																				
	SRR5220848	SRR3457765	SRR1976241																																																																				
	SRR5220896	SRR3479905	SRR1976272																																																																				
	SRR5220906	SRR3490024	SRR1979446																																																																				
	SRR5220961	SRR3499732	SRR1982119																																																																				
	SRR5221628	SRR3499740	SRR1988493																																																																				
	SRR5249672	SRR3499803	SRR1996217																																																																				
	SRR5296127	SRR3571300	SRR1997805																																																																				
	SRR5361135	SRR3618595	SRR2002487																																																																				
	SRR5364213	SRR3634503	SRR2035407																																																																				
	SRR5368961	SRR3664757	SRR2035443																																																																				
	SRR5382644	SRR3667097	SRR2062506																																																																				
	SRR5438387	SRR3667814	SRR2072492																																																																				
	SRR5460951	SRR3708004	SRR2082947																																																																				
	SRR5486149	SRR3713596	SRR2085495																																																																				
	SRR5486680	SRR3743987	SRR2085496																																																																				
	SRR5486683	SRR3930259	SRR2088725																																																																				
	SRR5501007	SRR3930385	SRR2088728																																																																				
	SRR5501016	SRR3932960	SRR2094560																																																																				
	SRR5501178	SRR3933021	SRR2095388																																																																				
	SRR5508273	SRR3934263	SRR2102455																																																																				
	SRR5574852	SRR3948442	SRR2153464																																																																				
	SRR5581819	SRR3948504	SRR2176193																																																																				
	SRR5582090	SRR3978450	SRR2176204																																																																				
	SRR5582406	SRR3978747	SRR2176210																																																																				
	SRR5584023	SRR3981176	SRR2182888																																																																				
	SRR5584106	SRR3990990	SRR2187690																																																																				
	SRR5584925	SRR3999988	SRR2192134																																																																				
	SRR5605968	SRR4047008	SRR2192196																																																																				
	SRR5632694	SRR4063698	SRR2229662																																																																				
	SRR5655527	SRR4063719	SRR2296840																																																																				
	SRR5656420	SRR4063727	SRR2338099																																																																				
	SRR5677858	SRR4063755	SRR2352187																																																																				
	SRR5683943	SRR4073158	SRR2352198																																																																				
	SRR5724845	SRR4176765	SRR2352203																																																																				
	SRR5739444	SRR4243051	SRR2352210																																																																				
	SRR5757206	SRR4280634	SRR2559318																																																																				
	SRR5762336	SRR4340444	SRR2566751																																																																				
	SRR5799632	SRR4434231	SRR2566887																																																																				
	SRR5799695	SRR4435833	SRR2567019																																																																				
	SRR5806499	SRR4444927	SRR2577498																																																																				
	SRR5808937	SRR4444946	SRR2584392																																																																				
	SRR5819673	SRR4449079	SRR2585441																																																																				
	SRR5820864	SRR4451320	SRR2669158																																																																				
	SRR5876335	SRR4451325	SRR2906734																																																																				
	SRR5890562	SRR4546474	SRR2913276																																																																				
	SRR5892873	SRR4546477	SRR2913304																																																																				
	SRR5901868	SRR4546497	SRR2937465																																																																				
	SRR5921464	SRR4546502	SRR3048808																																																																				
	SRR5935658	SRR4546516	SRR3048831																																																																				
	SRR5938178	SRR4841715	SRR3048844																																																																				
	SRR5947887	SRR4897149	SRR3049073																																																																				
	SRR5948392	SRR5002702	SRR3049240																																																																				
	SRR5988410	SRR5002709	SRR3049272																																																																				
	SRR6014138	SRR5004580	SRR3049397																																																																				
	SRR6026041	SRR5012559	SRR3049462																																																																				
	SRR6029142	SRR5023227	SRR3049640																																																																				
	SRR6038056	SRR5064854	SRR3049687																																																																				
	SRR6038083	SRR5081459	SRR3049713																																																																				
	SRR6054154	SRR5081551	SRR3049722																																																																				
	SRR6107284	SRR5125995	SRR3049821																																																																				
	SRR6117273	SRR5126003	SRR3049897																																																																				
	SRR6129487	SRR5126201	SRR3049901																																																																				
	SRR6132001	SRR5126209	SRR3052031																																																																				
	SRR6132076	SRR5126941	SRR3089996																																																																				
	SRR6132131	SRR5126953	SRR3103829																																																																				
	SRR6132139	SRR5126971	SRR3110500																																																																				
	SRR6132140	SRR5126990	SRR3114034																																																																				
	SRR6132408	SRR5159787	SRR3146658																																																																				
	SRR6133527	SRR5160309	SRR3182235																																																																				
	SRR6165572	SRR5188909	SRR3184316																																																																				
	SRR6238568	SRR5193075	SRR3205702																																																																				
	SRR6283452	SRR5193106	SRR3284732																																																																				
	SRR6310318	SRR5193229	SRR3284848																																																																				
	SRR6310348	SRR5193246	SRR3285081																																																																				
	SRR6310599	SRR5193322	SRR3285365																																																																				
	SRR6321417	SRR5193426	SRR3285463																																																																				
	SRR6326933	SRR5193441	SRR3285474																																																																				
	SRR6326987	SRR5193611	SRR3285481																																																																				
	SRR6334765	SRR5193856	SRR3286861																																																																				
	SRR6334858	SRR5193887	SRR3286939																																																																				
	SRR6334860	SRR5193900	SRR3295533																																																																				
	SRR6353551	SRR5193938	SRR3295595																																																																				
	SRR6366342	SRR5193956	SRR3312161																																																																				
	SRR6366425	SRR5193991	SRR3322011																																																																				
	SRR6371387	SRR5193997	SRR3330235																																																																				
	SRR6371542	SRR5194072	SRR3330246																																																																				
	SRR6371923	SRR5194081	SRR3372231																																																																				
	SRR6373584	SRR5194149	SRR3394945																																																																				
	SRR6373872	SRR5194219	SRR3405866																																																																				
	SRR6384575	SRR5194220	SRR3405948																																																																				
	SRR6387403	SRR5194267	SRR3457764																																																																				
	SRR6412937	SRR5194294	SRR3457765																																																																				
	SRR6440577	SRR5194305	SRR3479905																																																																				
	SRR6451637	SRR5201515	SRR3490024																																																																				
	SRR6452862	SRR5202356	SRR3490045																																																																				
	SRR6480938	SRR5209176	SRR3499732																																																																				
	SRR6495722	SRR5215512	SRR3499740																																																																				
	SRR6502724	SRR5215513	SRR3499803																																																																				
	SRR6514484	SRR5215652	SRR3571300																																																																				
	SRR6514744	SRR5215727	SRR3606744																																																																				
	SRR6656986	SRR5215793	SRR3618595																																																																				
	SRR6682061	SRR5215814	SRR3634503																																																																				
	SRR6687051	SRR5215839	SRR3664757																																																																				
	SRR6710447	SRR5215865	SRR3667097																																																																				
	SRR6715771	SRR5216124	SRR3667814																																																																				
	SRR6729925	SRR5216134	SRR3708004																																																																				
	SRR6791738	SRR5216156	SRR3713596																																																																				
	SRR6876267	SRR5216166	SRR3743962																																																																				
	SRR6879669	SRR5216185	SRR3743987																																																																				
	SRR6880101	SRR5216235	SRR3930259																																																																				
	SRR6881509	SRR5216243	SRR3930385																																																																				
	SRR6885446	SRR5216271	SRR3932960																																																																				
