250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
SRR7159934	SRR4297066	SRR1965201	SRR1299427
SRR7167160	SRR4345496	SRR1965321	SRR1299430
SRR7170388	SRR4418351	SRR1965333	SRR1302863
SRR7187108	SRR4418354	SRR1965418	SRR1346289
SRR7230377	SRR4420898	SRR1965768	SRR1346305
SRR7230695	SRR4432465	SRR1965942	SRR1346322
SRR7234487	SRR4449966	SRR1966062	SRR1411146
SRR7244363	SRR4454560	SRR1966066	SRR1425300
SRR7251499	SRR4841694	SRR1966203	SRR1503240
SRR7262556	SRR4841916	SRR1966275	SRR1514750
SRR7285774	SRR5016931	SRR1966410	SRR1528509
SRR7292846	SRR5017141	SRR1966450	SRR1534842
SRR7294462	SRR5023234	SRR1966841	SRR1555356
SRR7294466	SRR5023311	SRR1967149	SRR1556084
SRR7345613	SRR5038646	SRR1967168	SRR1558997
SRR7349351	SRR5044084	SRR1967753	SRR1559012
SRR7351369	SRR5066084	SRR1967783	SRR1562603
SRR7416190	SRR5092331	SRR1967882	SRR1569596
SRR7417222	SRR5126031	SRR1968810	SRR1569610
SRR7427058	SRR5152053	SRR1968825	SRR1573187
SRR7439453	SRR5159788	SRR1969136	SRR1573564
SRR7444139	SRR5182240	SRR1969866	SRR1575964
SRR7456736	SRR5188630	SRR1969977	SRR1575968
SRR7458723	SRR5193429	SRR1982139	SRR1577666
SRR7465562	SRR5201339	SRR2054187	SRR1582149
SRR7468570	SRR5215724	SRR2054215	SRR1593423
SRR7501412	SRR5215734	SRR2152994	SRR1617361
SRR7501649	SRR5217723	SRR2153204	SRR1623044
SRR7504675	SRR5217782	SRR2163440	SRR1636578
SRR7511748	SRR5221447	SRR2163445	SRR1645348
SRR7523711	SRR5224172	SRR2182864	SRR1645376
SRR7527891	SRR5229123	SRR2407604	SRR1645392
SRR7533326	SRR5235669	SRR2407708	SRR1645536
SRR7758381	SRR5238142	SRR2426344	SRR1645599
SRR7770298	SRR5242683	SRR2538178	SRR1645644
	SRR5251097	SRR2538307	SRR1645761
